,lat,lon,nir,red,date,szen,yday,sif,b1,b2,sza
0,43.125,94.375,0.15699999,0.1415,2015-01-14,64.49,2015014.0,-0.20364867,2175.0,2128.0,65.771065
1,42.125,94.625,0.2676,0.25,2015-01-14,68.96,2015014.0,-0.21458524,3590.0,3809.0,64.85143
2,41.625,94.875,0.7104,0.7177,2015-01-14,63.02,2015014.0,0.118094206,3760.0,3845.0,64.40117
3,40.625,-102.625,0.4174,0.3584,2015-01-14,62.69,2015014.0,0.022075927,2893.0,3456.0,63.374634
4,39.875,-102.375,0.44849998,0.40899998,2015-01-14,61.969997,2015014.0,-0.08860446,2136.0,2673.0,62.69351
5,39.625,-3.375,0.2532,0.17029999,2015-01-14,68.34,2015014.0,0.05191218,1762.0,2930.0,62.524086
6,39.375,-3.375,0.2724,0.1677,2015-01-14,68.15,2015014.0,-0.01591375,1750.0,2950.0,62.287663
7,39.125,-102.125,0.22649999,0.1581,2015-01-14,69.42,2015014.0,0.04381276,1571.0,2377.0,62.011955
8,38.875,-3.125,0.2445,0.1566,2015-01-14,60.609997,2015014.0,-0.12218759,771.0,2095.0,61.842648
9,38.625,-3.125,0.1977,0.1265,2015-01-14,60.35,2015014.0,0.016338358,992.0,2061.0,61.61199
10,38.625,21.625,0.1257,0.036399998,2015-01-14,60.27,2015014.0,0.17629534,527.0,2422.0,61.615635
11,38.375,-101.875,0.2444,0.1638,2015-01-14,60.579998,2015014.0,-0.081644714,1451.0,2476.0,61.337296
12,38.125,-101.875,0.24309999,0.1663,2015-01-14,60.34,2015014.0,0.041593216,1632.0,2447.0,61.094524
13,37.875,-2.875,0.2162,0.163,2015-01-14,59.629997,2015014.0,0.2595627,515.0,1754.0,60.928074
14,37.875,21.875,0.1489,0.0514,2015-01-14,59.55,2015014.0,0.3090489,617.0,2074.0,60.947662
15,37.125,-2.625,0.1513,0.1347,2015-01-14,66.549995,2015014.0,-0.2874552,1306.0,1734.0,60.256065
16,36.625,96.375,0.3299,0.2898,2015-01-14,64.77,2015014.0,-0.10017813,2542.0,2941.0,59.84848
17,36.125,47.125,0.2013,0.1554,2015-01-14,57.8,2015014.0,-0.2096019,1564.0,2169.0,59.3802
18,35.875,47.125,0.20369999,0.15349999,2015-01-14,57.539997,2015014.0,0.072386175,1388.0,2056.0,59.13917
19,35.125,47.375,0.2095,0.1542,2015-01-14,56.82,2015014.0,-0.2221802,1320.0,2120.0,58.467896
20,34.375,47.625,0.2236,0.1661,2015-01-14,56.12,2015014.0,0.120547384,1938.0,2583.0,57.80083
21,34.125,47.625,0.2227,0.1744,2015-01-14,63.59,2015014.0,-0.06434243,2350.0,2979.0,57.56597
22,34.125,72.375,0.1964,0.1158,2015-01-14,63.26,2015014.0,0.17479196,1032.0,2203.0,57.5825
23,33.375,47.875,0.1999,0.14109999,2015-01-14,55.14,2015014.0,0.2232933,1420.0,2527.0,56.898098
24,33.375,72.625,0.19479999,0.12799999,2015-01-14,62.719997,2015014.0,-0.07963342,1060.0,2155.0,56.916428
25,33.125,72.625,0.1906,0.1192,2015-01-14,62.5,2015014.0,0.030554816,1089.0,1955.0,56.683765
26,32.625,48.125,0.2877,0.21869999,2015-01-14,62.55,2015014.0,-0.13742022,1982.0,2713.0,56.23584
27,32.375,48.125,0.2545,0.1828,2015-01-14,54.17,2015014.0,0.2206128,1238.0,2485.0,56.001717
28,32.375,72.875,0.46679997,0.61689997,2015-01-14,54.079998,2015014.0,0.23507838,737.0,1965.0,56.02154
29,31.625,23.625,0.5268,0.4955,2015-01-14,53.539997,2015014.0,0.22977854,3581.0,4531.0,55.326866
30,31.625,48.375,0.23629999,0.13,2015-01-14,53.469997,2015014.0,-0.14344506,2064.0,2700.0,55.344654
31,31.375,48.375,0.2582,0.1787,2015-01-14,53.199997,2015014.0,0.6265225,1102.0,2841.0,55.110596
32,30.625,48.625,0.2059,0.1361,2015-01-14,61.109997,2015014.0,-0.0003219697,1140.0,2164.0,54.456257
33,30.375,48.625,0.2254,0.22019999,2015-01-14,60.89,2015014.0,0.010937756,1672.0,1966.0,54.222443
34,29.875,24.125,0.50699997,0.41329998,2015-01-14,51.89,2015014.0,0.44131935,4572.0,5714.0,53.78043
35,28.875,24.375,0.6071,0.49359998,2015-01-14,50.93,2015014.0,0.13169909,4856.0,5893.0,52.89901
36,28.625,24.375,0.5963,0.4885,2015-01-14,60.12,2015014.0,0.2693462,4703.0,5721.0,52.666943
